Date,Name / Description,Expense / Income,Amount ($),Transaction,Category
2023-01-01,Home Repair,Expense,504.99,Home Repair,Housing and Utilities
2023-01-02,Pharmacy Medication,Expense,1356.44,Pharmacy Medication,Health and Wellness
2023-01-03,Pizza Delivery,Expense,1621.8,Pizza Delivery,Food and Beverages
2023-01-04,Laptop Repair,Expense,867.14,Laptop Repair,Electronics
2023-01-05,Dividend Income,Income,6148.05,Dividend Income,Finance and Banking
2023-01-06,Rental Income,Income,6779.19,Rental Income,Finance and Banking
2023-01-07,Yoga Retreat,Expense,761.17,Yoga Retreat,Travel and Leisure
2023-01-08,Book Purchase,Expense,197.62,Book Purchase,Books and Media
2023-01-09,Electronics Store Purchase,Expense,516.0,Electronics Store Purchase,Electronics
2023-01-10,Bicycle Repair,Expense,1185.91,Bicycle Repair,Transportation
2023-01-11,Art Exhibition Ticket,Expense,955.57,Art Exhibition Ticket,Entertainment
2023-01-12,Uber Ride,Expense,978.43,Uber Ride,Transportation
2023-01-13,City Tour,Expense,919.74,City Tour,Travel and Leisure
2023-01-14,Massage Session,Expense,1051.56,Massage Session,Health and Wellness
2023-01-15,Parking Fee,Expense,886.82,Parking Fee,Transportation
2023-01-16,Festival Ticket,Expense,1706.01,Festival Ticket,Entertainment
2023-01-17,Electricity Bill,Expense,869.71,Electricity Bill,Housing and Utilities
2023-01-18,Consulting Fees,Income,6756.93,Consulting Fees,Professional Services
2023-01-19,Vitamins and Supplements,Expense,1021.14,Vitamins and Supplements,Health and Wellness
2023-01-20,Software License,Expense,177.32,Software License,Electronics
2023-01-21,Vitamins and Supplements,Expense,1321.78,Vitamins and Supplements,Health and Wellness
2023-01-22,Laptop Repair,Expense,417.16,Laptop Repair,Electronics
2023-01-23,Museum Entry,Expense,1695.31,Museum Entry,Entertainment
2023-01-24,Hair Salon Visit,Expense,1364.31,Hair Salon Visit,Health and Wellness
2023-01-25,Financial Advisor Consultation,Expense,360.84,Financial Advisor Consultation,Professional Services
2023-01-26,Amazon Purchase,Expense,144.37,Amazon Purchase,Clothing and Grooming
2023-01-27,Plumbing Services,Expense,24.33,Plumbing Services,Housing and Utilities
2023-01-28,Grocery Shopping,Expense,1784.64,Grocery Shopping,Food and Beverages
2023-01-29,Public Transit Ticket,Expense,271.26,Public Transit Ticket,Transportation
2023-01-30,Stock Sale Profit,Income,6368.49,Stock Sale Profit,Finance and Banking
2023-01-31,Wine Purchase,Expense,1850.7,Wine Purchase,Food and Beverages
2023-02-01,Music Performance Fee,Income,20175.43,Music Performance Fee,Entertainment
2023-02-02,Book Purchase,Expense,984.18,Book Purchase,Books and Media
2023-02-03,Taxi Fare,Expense,941.65,Taxi Fare,Transportation
2023-02-04,Festival Ticket,Expense,1766.01,Festival Ticket,Entertainment
2023-02-05,Apple Services,Expense,979.38,Apple Services,Electronics
2023-02-06,Acupuncture Treatment,Expense,832.06,Acupuncture Treatment,Health and Wellness
2023-02-07,Car Wash,Expense,352.35,Car Wash,Transportation
2023-02-08,City Tour,Expense,953.2,City Tour,Travel and Leisure
2023-02-09,Uber Ride,Expense,1568.38,Uber Ride,Transportation
2023-02-10,Hotel Booking,Expense,1115.08,Hotel Booking,Travel
2023-02-11,Home Repair,Expense,323.93,Home Repair,Housing and Utilities
2023-02-12,Hair Salon Visit,Expense,291.94,Hair Salon Visit,Health and Wellness
2023-02-13,Garden Supplies,Expense,1300.68,Garden Supplies,Housing and Utilities
2023-02-14,Yoga Retreat,Expense,1080.75,Yoga Retreat,Travel and Leisure
2023-02-15,Movie Ticket,Expense,654.74,Movie Ticket,Entertainment
2023-02-16,Theater Ticket,Expense,298.29,Theater Ticket,Entertainment
2023-02-17,Photography Session Fee,Income,4564.69,Photography Session Fee,Professional Services
2023-02-18,Theater Ticket,Expense,263.18,Theater Ticket,Entertainment
2023-02-19,Museum Entry,Expense,1159.95,Museum Entry,Entertainment
2023-02-20,Garden Supplies,Expense,189.06,Garden Supplies,Housing and Utilities
2023-02-21,Laptop Repair,Expense,1821.54,Laptop Repair,Electronics
2023-02-22,Optometrist Visit,Expense,170.53,Optometrist Visit,Health and Wellness
2023-02-23,Garden Supplies,Expense,1601.76,Garden Supplies,Housing and Utilities
2023-02-24,Hair Salon Visit,Expense,1754.88,Hair Salon Visit,Health and Wellness
2023-02-25,Bicycle Repair,Expense,191.45,Bicycle Repair,Transportation
2023-02-26,Medical Insurance,Expense,855.48,Medical Insurance,Financial Planning
2023-02-27,Parking Fee,Expense,949.08,Parking Fee,Transportation
2023-02-28,Martial Arts Class,Expense,1162.49,Martial Arts Class,Recreation
2023-03-01,Movie Ticket,Expense,1433.91,Movie Ticket,Entertainment
2023-03-02,Wedding Gift,Expense,59.0,Wedding Gift,Personal Expenses
2023-03-03,TK Maxx Amsterdam DA,Expense,1464.14,TK Maxx Amsterdam DA,Clothing and Grooming
2023-03-04,Book Royalties,Income,8900.78,Book Royalties,Professional Services
2023-03-05,Grocery Shopping,Expense,24.48,Grocery Shopping,Food and Beverages
2023-03-06,Cleaning Services,Expense,620.03,Cleaning Services,Housing and Utilities
2023-03-07,Book Royalties,Income,2722.67,Book Royalties,Professional Services
2023-03-08,Rental Income,Income,5852.37,Rental Income,Finance and Banking
2023-03-09,Stock Sale Profit,Income,11061.08,Stock Sale Profit,Finance and Banking
2023-03-10,Massage Session,Expense,1117.83,Massage Session,Health and Wellness
2023-03-11,Library Fine,Expense,199.45,Library Fine,Personal Expenses
2023-03-12,Car Wash,Expense,1245.25,Car Wash,Transportation
2023-03-13,Apple Services,Expense,1726.73,Apple Services,Electronics
2023-03-14,Car Wash,Expense,319.48,Car Wash,Transportation
2023-03-15,Pharmacy Medication,Expense,1984.9,Pharmacy Medication,Health and Wellness
2023-03-16,Safari Adventure,Expense,174.58,Safari Adventure,Travel
2023-03-17,Wine Purchase,Expense,193.44,Wine Purchase,Food and Beverages
2023-03-18,Pet Supplies,Expense,1269.05,Pet Supplies,Personal Expenses
2023-03-19,Birthday Gift,Expense,1898.85,Birthday Gift,Personal Expenses
2023-03-20,Mobile Phone Recharge,Expense,1873.81,Mobile Phone Recharge,Electronics
2023-03-21,Freelancing,Expense,897.52,Freelancing,Professional Services
2023-03-22,Pet Supplies,Expense,1456.75,Pet Supplies,Personal Expenses
2023-03-23,Chinese Takeout,Expense,1485.76,Chinese Takeout,Food and Beverages
2023-03-24,Taxi Fare,Expense,617.44,Taxi Fare,Transportation
2023-03-25,Library Fine,Expense,243.94,Library Fine,Personal Expenses
2023-03-26,Hardware Store Purchase,Expense,890.54,Hardware Store Purchase,Housing and Utilities
2023-03-27,Pet Supplies,Expense,786.59,Pet Supplies,Personal Expenses
2023-03-28,Gas Bill,Expense,1066.04,Gas Bill,Housing and Utilities
2023-03-29,Music Album,Expense,1691.49,Music Album,Entertainment
2023-03-30,Yoga Class Fee,Expense,1074.87,Yoga Class Fee,Recreation
2023-03-31,Spiritual Retreat,Expense,1362.14,Spiritual Retreat,Travel
2023-04-01,Stock Sale Profit,Income,9184.03,Stock Sale Profit,Finance and Banking
2023-04-02,Airline Ticket,Expense,201.46,Airline Ticket,Travel
2023-04-03,Selling Paintings Revenue,Income,1419.4,Selling Paintings Revenue,Professional Services
2023-04-04,Wedding Gift,Expense,116.65,Wedding Gift,Personal Expenses
2023-04-05,Parking Fee,Expense,177.63,Parking Fee,Transportation
2023-04-06,Restaurant Dining,Expense,478.16,Restaurant Dining,Food and Beverages
